"","ctl-treatA_Left","ctl-treatA_Right","ctl-treatA_Middle","ctl-treatA_Sides","ctl-treatA_MaxVal","ctl-treatA_MaxTime","ctl-treatB_Left","ctl-treatB_Right","ctl-treatB_Middle","ctl-treatB_Sides","ctl-treatB_MaxVal","ctl-treatB_MaxTime","treatA-treatB_Left","treatA-treatB_Right","treatA-treatB_Middle","treatA-treatB_Sides","treatA-treatB_MaxVal","treatA-treatB_MaxTime"
"malmito_rna_RNA4:rRNA",0.22029997413826,-0.64163427899853,-0.683449310869636,0.262115006009365,-0.683449310869636,"Mid",0.108329790717161,0.196252396066431,0.119693387922491,0.184888798861099,0.196252396066431,"Right",-0.111970183421099,0.837886675064961,0.803142698792127,-0.0772262071482656,0.837886675064961,"Right"
"malmito_rna_RNA5:rRNA",-0.446698934854776,-1.60221398467476,-1.59135972588522,-0.457553193644312,-1.60221398467476,"Right",0.5312147364031,-0.239697586952644,-0.300337485982931,0.591854635433387,0.591854635433387,"Sides",0.977913671257875,1.36251639772211,1.29102223990229,1.0494078290777,1.36251639772211,"Right"
"malmito_rna_RNA7:rRNA",-0.235109987687779,-1.27838373827228,-1.36497573178387,-0.148517994176187,-1.36497573178387,"Mid",0.687306453420605,0.0305934465909868,0.0307931656976256,0.687106734313966,0.687306453420605,"Left",0.922416441108384,1.30897718486327,1.3957688974815,0.835624728490153,1.3957688974815,"Mid"
"malmito_rna_SSUF:rRNA",0.00823045427740936,-0.929124174293826,-1.05339281351219,0.132499093495773,-1.05339281351219,"Mid",-0.171521744253787,0.0315918458016907,-0.214970534328115,0.0750406358760188,-0.214970534328115,"Mid",-0.179752198531196,0.960716020095516,0.838422279184075,-0.0574584576197545,0.960716020095516,"Right"
"malmito_SSUB:rRNA",-0.156602895473758,-1.36243898708597,-1.38148495176865,-0.137556930791081,-1.38148495176865,"Mid",-0.00631213044553618,-0.319709478975455,-0.375694915060243,0.0496733056392524,-0.375694915060243,"Mid",0.150290765028222,1.04272950811051,1.0057900367084,0.187230236430333,1.04272950811051,"Right"
"mal_rna_10:rRNA",0.171821229032304,-0.899029678796992,-0.88834556573386,0.161137115969171,-0.899029678796992,"Right",0.773138688849808,0.199348258426972,0.301365994970288,0.671120952306492,0.773138688849808,"Left",0.601317459817504,1.09837793722396,1.18971156070415,0.509983836337321,1.18971156070415,"Mid"
"mal_rna_14:rRNA",-0.0561248471154566,-1.52866946347903,-1.41274444732738,-0.172049863267106,-1.52866946347903,"Right",0.965023528702746,-0.250838934157152,-0.0896856363661854,0.80387023091178,0.965023528702746,"Left",1.0211483758182,1.27783052932188,1.3230588109612,0.975920094178886,1.3230588109612,"Mid"
"mal_rna_15:rRNA",0.0819085938689877,-0.808283346439554,-0.881269359545738,0.154894606975172,-0.881269359545738,"Mid",-0.0238647558443787,-0.0501237183681123,-0.185003055695036,0.111014581482545,-0.185003055695036,"Mid",-0.105773349713366,0.758159628071442,0.696266303850702,-0.0438800254926266,0.758159628071442,"Right"
"mal_rna_17:rRNA",0.0264120275700712,-1.25194004857275,-1.192613077061,-0.0329149439416831,-1.25194004857275,"Right",0.958298441669846,-0.32534351593249,0.00191323091022956,0.631041694827127,0.958298441669846,"Left",0.931886414099775,0.92659653264026,1.19452630797122,0.66395663876881,1.19452630797122,"Mid"
"mal_rna_18:rRNA",-0.777109543130538,-0.966438251402522,-1.16966163673915,-0.573886157793905,-1.16966163673915,"Mid",0.62019355076565,-0.12557142839609,-0.0793721823123596,0.57399430468192,0.62019355076565,"Left",1.39730309389619,0.840866823006432,1.09028945442679,1.14788046247583,1.39730309389619,"Left"
"mal_rna_19:rRNA",-0.011520091390752,-1.0627656967973,-1.08349084626226,0.0092050580742134,-1.08349084626226,"Mid",0.803864805137641,-0.104193438043268,0.050988920531694,0.648682446562679,0.803864805137641,"Left",0.815384896528393,0.958572258754028,1.13447976679395,0.639477388488465,1.13447976679395,"Mid"
"mal_rna_9:rRNA",-0.299137591856567,-1.00331483673725,-1.20964623490371,-0.0928061936900994,-1.20964623490371,"Mid",-0.265561063242091,0.0444919098824852,-0.201209453651848,-0.0198596997077577,-0.265561063242091,"Left",0.033576528614476,1.04780674661973,1.00843678125186,0.0729464939823417,1.04780674661973,"Right"
"mCherry",0.0319088720950269,0.182166044753334,0.0619478325827686,0.152127084265593,0.182166044753334,"Right",-0.0883976476092656,-0.158529115815093,-0.269060182560361,0.0221334191360029,-0.269060182560361,"Mid",-0.120306519704292,-0.340695160568427,-0.33100801514313,-0.12999366512959,-0.340695160568427,"Right"
"Mp_rRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ncRNA_thermreg",-0.622580546439579,-0.426709342186298,-1.12229669047492,0.0730068018490466,-1.12229669047492,"Mid",-0.32784096049437,-0.0208638466879414,-0.482245531684752,0.13354072450244,-0.482245531684752,"Mid",0.294739585945209,0.405845495498356,0.640051158790172,0.0605339226533934,0.640051158790172,"Mid"
"neoR",-0.376463942412781,-0.597632085697627,-0.894571157538389,-0.0795248705720195,-0.894571157538389,"Mid",-0.355088448710365,0.452201121946574,-0.140947962869821,0.23806063610603,0.452201121946574,"Right",0.0213754937024159,1.0498332076442,0.753623194668568,0.31758550667805,1.0498332076442,"Right"
"PF01TR004",-0.979556862737987,-0.47822763748992,-0.721311943232839,-0.736472556995068,-0.979556862737987,"Left",0.0132831603826289,-0.101641417126264,0.0385688945176712,-0.126927151261307,-0.126927151261307,"Sides",0.992840023120615,0.376586220363655,0.75988083775051,0.609545405733761,0.992840023120615,"Left"
"PF01TR006",-0.0760035253281502,-0.42364655278853,-0.16156879928472,-0.33808127883196,-0.42364655278853,"Right",0.00510292049668846,-0.764353209244631,-0.216032210993479,-0.543218077754464,-0.764353209244631,"Right",0.0811064458248387,-0.340706656456101,-0.0544634117087588,-0.205136798922504,-0.340706656456101,"Right"
"PF02TR003",-0.851114457070475,-0.141138642401306,-0.682333262379557,-0.309919837092224,-0.851114457070475,"Left",-0.458633923994225,0.118236513919462,-0.27200353331118,-0.0683938767635829,-0.458633923994225,"Left",0.39248053307625,0.259375156320768,0.410329729068377,0.241525960328641,0.410329729068377,"Mid"
"PF03TR001",-0.158308722590514,-0.581056188188174,-0.827987988037748,0.0886230772590597,-0.827987988037748,"Mid",-0.0635091509421432,0.14579507992478,-0.137495182385929,0.219781111368567,0.219781111368567,"Sides",0.0947995716483708,0.726851268112954,0.690492805651818,0.131158034109508,0.726851268112954,"Right"
"PF04TR001",-1.63740057742414,-1.55435824694734,-1.74892296071459,-1.44283586365689,-1.74892296071459,"Mid",-0.817294978343719,-1.67969094321334,-1.81391585838958,-0.683070063167486,-1.81391585838958,"Mid",0.820105599080425,-0.125332696265998,-0.0649928976749804,0.759765800489407,0.820105599080425,"Left"
"PF04TR003",-1.02831974951486,0.175900308421464,0.0629573963566967,-0.915376837450092,-1.02831974951486,"Left",-0.860394807702906,-0.0558767905511374,-0.0232574567829497,-0.893014141471093,-0.893014141471093,"Sides",0.167924941811953,-0.231777098972601,-0.0862148531396464,0.0223626959789985,-0.231777098972601,"Right"
"PF05TR001",0.125195066831273,-4.76135154912315e-05,-0.00168130806878584,0.126828761384567,0.126828761384567,"Sides",-0.253028761291332,0.519666360078368,0.0985688347454192,0.168068764041617,0.519666360078368,"Right",-0.378223828122605,0.519713973593859,0.100250142814205,0.0412400026570495,0.519713973593859,"Right"
"PF05TR003",0.0883471314330162,0.605926335142228,0.754754705582,-0.0604812390067567,0.754754705582,"Mid",-0.0696951324546908,0.0950399872072116,0.158406045644966,-0.133061190892445,0.158406045644966,"Mid",-0.158042263887707,-0.510886347935016,-0.596348659937034,-0.0725799518856883,-0.596348659937034,"Mid"
"PF06TR002",-0.603956984955387,-0.228715539461867,-0.522374904955184,-0.310297619462069,-0.603956984955387,"Left",-0.557361945563152,-1.09482348942445,-1.28789077785567,-0.364294657131932,-1.28789077785567,"Mid",0.0465950393922345,-0.866107949962579,-0.765515872900483,-0.0539970376698623,-0.866107949962579,"Right"
"PF06TR004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF06TR006",-0.0681533396955587,0.357156705377781,0.491139473352818,-0.202136107670596,0.491139473352818,"Mid",-0.199511868154581,-0.0203447969029289,0.202334823882257,-0.422191488939766,-0.422191488939766,"Sides",-0.131358528459022,-0.37750150228071,-0.288804649470562,-0.22005538126917,-0.37750150228071,"Right"
"PF07TR001",0.0482609239567345,-0.155371278377277,-0.249608217048523,0.14249786262798,-0.249608217048523,"Mid",-0.827563409507217,-0.28148173180973,-0.412069343102243,-0.696975798214703,-0.827563409507217,"Left",-0.875824333463951,-0.126110453432452,-0.16246112605372,-0.839473660842683,-0.875824333463951,"Left"
"PF07TR003",-0.448540719530441,0.485493443757837,0.191874219421398,-0.154921495194003,0.485493443757837,"Right",-0.245775024665802,0.28597645555795,-0.34085870194707,0.381060132839218,0.381060132839218,"Sides",0.202765694864639,-0.199516988199888,-0.532732921368468,0.53598162803322,0.53598162803322,"Sides"
"PF08TR002",0.276181994430697,-0.0747655349423028,-0.195579119022022,0.396995578510416,0.396995578510416,"Sides",-0.334541589321864,0.220299644964566,-0.00634434291543022,-0.107897601441867,-0.334541589321864,"Left",-0.610723583752561,0.295065179906869,0.189234776106592,-0.504893179952283,-0.610723583752561,"Left"
"PF09TR001",0.018488325521861,0.0915320553718313,0.366978059102264,-0.256957678208572,0.366978059102264,"Mid",-0.507282910392911,-0.421749975615427,-0.24618280523309,-0.682850080775249,-0.682850080775249,"Sides",-0.525771235914772,-0.513282030987259,-0.613160864335354,-0.425892402566677,-0.613160864335354,"Mid"
"PF09TR002",-0.0358088160288534,0.0373984970468964,-0.100829062255241,0.102418743273284,0.102418743273284,"Sides",1.02871634320625,0.45705965007521,0.859458899529916,0.626317093751547,1.02871634320625,"Left",1.06452515923511,0.419661153028314,0.960287961785157,0.523898350478263,1.06452515923511,"Left"
"PF09TR003",0.0586497866162135,-0.0847457005912725,0.0425254154681432,-0.0686213294432018,-0.0847457005912725,"Right",0.0819173580322059,0.214003398481285,0.322877446826051,-0.0269566903125595,0.322877446826051,"Mid",0.0232675714159925,0.298749099072557,0.280352031357907,0.0416646391306424,0.298749099072557,"Right"
"PF09TR004",-0.122161449478001,0.234296116162752,0.313753572387416,-0.201618905702665,0.313753572387416,"Mid",-0.0347312530416985,-0.0917026360330781,0.0515448716163461,-0.177978760691123,-0.177978760691123,"Sides",0.0874301964363021,-0.32599875219583,-0.26220870077107,0.0236401450115423,-0.32599875219583,"Right"
"PF09TR005",-0.143129981972035,-0.48978158897418,-0.847038351781403,0.214126780835189,-0.847038351781403,"Mid",-0.199400976885846,0.273457089546702,-0.140329409579109,0.214385522239966,0.273457089546702,"Right",-0.0562709949138111,0.763238678520882,0.706708942202294,0.000258741404777279,0.763238678520882,"Right"
"PF10TR001",-0.845628496893163,-1.99413469028909,-1.72944441108702,-1.11031877609523,-1.99413469028909,"Right",-1.97769677553042,-2.23754634022938,-2.39437124311215,-1.82087187264765,-2.39437124311215,"Mid",-1.13206827863726,-0.243411649940292,-0.664926832025129,-0.710553096552423,-1.13206827863726,"Left"
"PF10TR002",-0.162835893747053,-0.027795117286048,-0.0373644462435189,-0.153266564789583,-0.162835893747053,"Left",-0.218088275555467,-0.388021443250403,-0.375886499734186,-0.230223219071684,-0.388021443250403,"Right",-0.0552523818084134,-0.360226325964355,-0.338522053490667,-0.0769566542821016,-0.360226325964355,"Right"
"PF10TR003",-0.200294223487793,-0.0709772085978361,-0.156894493065786,-0.114376939019843,-0.200294223487793,"Left",-0.323380451517373,-0.224645456050492,-0.243840696784766,-0.304185210783099,-0.323380451517373,"Left",-0.12308622802958,-0.153668247452655,-0.0869462037189804,-0.189808271763255,-0.189808271763255,"Sides"
"PF10TR004",0.692576632413524,-0.0130921351823347,-0.282781999252016,0.962266496483205,0.962266496483205,"Sides",0.265241989864134,0.448407178886904,0.155430185416511,0.558218983334527,0.558218983334527,"Sides",-0.427334642549389,0.461499314069238,0.438212184668527,-0.404047513148678,0.461499314069238,"Right"
"PF10TR006",0.198206077356966,0.230294030911133,0.402212693915215,0.0262874143528836,0.402212693915215,"Mid",0.210416878960902,0.0861069337314773,0.300825217462017,-0.00430140476963773,0.300825217462017,"Mid",0.0122108016039353,-0.144187097179656,-0.101387476453199,-0.0305888191225213,-0.144187097179656,"Right"
"PF10TR007",-0.759840190343244,-0.308284712631908,-0.887240556320297,-0.180884346654854,-0.887240556320297,"Mid",0.384570720744325,0.0319059599025835,-0.348024011013388,0.764500691660298,0.764500691660298,"Sides",1.14441091108757,0.340190672534491,0.539216545306908,0.945385038315153,1.14441091108757,"Left"
"PF10TR008",0.28830346602423,-0.124748828760792,-0.251588968340738,0.415143605604176,0.415143605604176,"Sides",0.474062002005362,0.230813417172299,0.408214007213447,0.296661411964213,0.474062002005362,"Left",0.185758535981131,0.355562245933091,0.659802975554185,-0.118482193639962,0.659802975554185,"Mid"
"PF10TR009",-1.63714096691671,-1.03551628169517,-1.09918910970682,-1.57346813890506,-1.63714096691671,"Left",-0.683780690609416,-0.64062747449159,-0.597694693054192,-0.726713472046813,-0.726713472046813,"Sides",0.953360276307293,0.394888807203583,0.501494416652629,0.846754666858248,0.953360276307293,"Left"
"PF10TR010",-0.887751386401182,-0.703115431213231,-1.18085126573981,-0.410015551874602,-1.18085126573981,"Mid",-1.97177848578514,-0.623326829614418,-1.46539315458413,-1.12971216081543,-1.97177848578514,"Left",-1.08402709938396,0.0797886015988127,-0.284541888844315,-0.719696608940831,-1.08402709938396,"Left"
"PF11TR001",-0.366891085789229,0.307472859136639,0.373126896713301,-0.43254512336589,-0.43254512336589,"Sides",-0.195691224426957,0.503190996501989,0.461276476459126,-0.153776704384094,0.503190996501989,"Right",0.171199861362272,0.195718137365349,0.088149579745825,0.278768418981797,0.278768418981797,"Sides"
"PF11TR002",0.860089151467177,-0.00616902855429395,0.181365436146043,0.672554686766841,0.860089151467177,"Left",0.0949189876208199,-0.150699806864994,0.00377346495908886,-0.0595542842032622,-0.150699806864994,"Right",-0.765170163846357,-0.1445307783107,-0.177591971186954,-0.732108970970103,-0.765170163846357,"Left"
"PF11TR004",-0.461989346169362,0.184924442138382,-0.173723167914027,-0.103341736116953,-0.461989346169362,"Left",-0.119056767552257,-0.0207097562869008,0.0269932309043901,-0.166759754743548,-0.166759754743548,"Sides",0.342932578617105,-0.205634198425283,0.200716398818417,-0.0634180186265943,0.342932578617105,"Left"
"PF11TR007",-0.852097390834982,-1.06303557845249,-0.983566453002653,-0.931566516284817,-1.06303557845249,"Right",-0.880316608704066,-0.563902901743518,-0.682990098494623,-0.761229411952961,-0.880316608704066,"Left",-0.0282192178690832,0.49913267670897,0.30057635450803,0.170337104331856,0.49913267670897,"Right"
"PF11TR009",-0.430342649701015,-0.0579948761859105,-0.286784521456832,-0.201553004430094,-0.430342649701015,"Left",-0.0786570510726911,0.186921937698684,-0.110677697602748,0.218942584228741,0.218942584228741,"Sides",0.351685598628324,0.244916813884594,0.176106823854084,0.420495588658835,0.420495588658835,"Sides"
"PF11TR010",0.198889461442349,-0.162895703717755,-0.352568065267139,0.388561822991732,0.388561822991732,"Sides",0.030194075821072,0.495273010243073,0.0951667714747541,0.43030031458939,0.495273010243073,"Right",-0.168695385621277,0.658168713960828,0.447734836741893,0.041738491597658,0.658168713960828,"Right"
"PF11TR012",-0.612818704370555,-0.537312962358255,-1.01498358163123,-0.135148085097585,-1.01498358163123,"Mid",-0.115041537378344,-0.18059261378329,-0.505317156726762,0.209683005565127,-0.505317156726762,"Mid",0.497777166992212,0.356720348574965,0.509666424904465,0.344831090662712,0.509666424904465,"Mid"
"PF12TR003",0.297609860845648,0.485808460996537,0.684278044418816,0.0991402774233697,0.684278044418816,"Mid",0.0631831146753275,0.198854305788252,0.368991763982019,-0.106954343518439,0.368991763982019,"Mid",-0.234426746170321,-0.286954155208285,-0.315286280436797,-0.206094620941809,-0.315286280436797,"Mid"
"PF12TR004",-0.306846432892306,0.180839787194191,0.0523008581201061,-0.178307503818221,-0.306846432892306,"Left",-0.0365674934223953,0.407326588690613,0.38418078368719,-0.0134216884189719,0.407326588690613,"Right",0.270278939469911,0.226486801496422,0.331879925567084,0.164885815399249,0.331879925567084,"Mid"
"PF12TR007",0.0334165746696467,0.176118387689914,0.376429493492549,-0.166894531132989,0.376429493492549,"Mid",-0.164029024561707,0.0495450276751001,0.0882677711708598,-0.202751768057467,-0.202751768057467,"Sides",-0.197445599231354,-0.126573360014814,-0.288161722321689,-0.0358572369244781,-0.288161722321689,"Mid"
"PF12TR008",-0.174643224270758,-0.78185837683492,-0.911424094907225,-0.0450775061984521,-0.911424094907225,"Mid",-0.397993432261722,-0.0973380758113717,-0.443269258781802,-0.05206224929129,-0.443269258781802,"Mid",-0.223350207990964,0.684520301023548,0.468154836125422,-0.00698474309283781,0.684520301023548,"Right"
"PF12TR009",-0.0640919913336225,-0.186410381353836,-0.664990205563635,0.414487832876177,-0.664990205563635,"Mid",-0.372820951483031,0.394319324066201,-0.0816685209411614,0.103166893524333,0.394319324066201,"Right",-0.308728960149408,0.580729705420037,0.583321684622474,-0.311320939351844,0.583321684622474,"Mid"
"PF12TR010",-0.869977913478199,0.254223151140929,0.202080758792917,-0.817835521130189,-0.869977913478199,"Left",-1.62294545223999,-0.354691204242216,-0.971230772315785,-1.00640588416642,-1.62294545223999,"Left",-0.752967538761792,-0.608914355383144,-1.1733115311087,-0.188570363036232,-1.1733115311087,"Mid"
