"","ctl-treatA_MaxVal","ctl-treatB_MaxVal","treatA-treatB_MaxVal","ctl-treatA_MaxTime","ctl-treatB_MaxTime","treatA-treatB_MaxTime"
"PF10TR001",-1.99413469028909,-2.39437124311215,-1.13206827863726,"ring","ring","ring"
"PF10TR002",-0.162835893747053,-0.388021443250403,-0.360226325964355,"ring","ring","ring"
"PF10TR003",-0.200294223487793,-0.323380451517373,-0.189808271763255,"ring","ring","ring-ring"
"PF10TR004",0.962266496483204,0.558218983334527,0.461499314069239,"ring-ring","ring-ring","ring"
"PF10TR006",0.402212693915215,0.300825217462017,-0.144187097179656,"ring","ring","ring"
"PF10TR007",-0.887240556320297,0.764500691660298,1.14441091108757,"ring","ring-ring","ring"
"PF10TR008",0.415143605604176,0.474062002005362,0.659802975554185,"ring-ring","ring","ring"
"PF10TR009",-1.63714096691671,-0.726713472046813,0.953360276307293,"ring","ring-ring","ring"
"PF10TR010",-1.18085126573981,-1.97177848578514,-1.08402709938396,"ring","ring","ring"
"PF11TR001",-0.43254512336589,0.503190996501988,0.278768418981797,"ring-ring","ring","ring-ring"
"PF11TR002",0.860089151467177,-0.150699806864994,-0.765170163846357,"ring","ring","ring"
"PF11TR004",-0.461989346169362,-0.166759754743547,0.342932578617105,"ring","ring-ring","ring"
"PF11TR007",-1.06303557845249,-0.880316608704066,0.49913267670897,"ring","ring","ring"
"PF11TR009",-0.430342649701015,0.218942584228741,0.420495588658835,"ring","ring-ring","ring-ring"
"PF11TR010",0.388561822991732,0.495273010243073,0.658168713960828,"ring-ring","ring","ring"
"PF11TR012",-1.01498358163123,-0.505317156726762,0.509666424904465,"ring","ring","ring"
"PF12TR003",0.684278044418816,0.368991763982019,-0.315286280436797,"ring","ring","ring"
"PF12TR004",-0.306846432892306,0.407326588690613,0.331879925567084,"ring","ring","ring"
"PF12TR007",0.376429493492549,-0.202751768057467,-0.288161722321689,"ring","ring-ring","ring"
"PF12TR008",-0.911424094907225,-0.443269258781802,0.684520301023548,"ring","ring","ring"
"PF12TR009",-0.664990205563635,0.394319324066201,0.583321684622474,"ring","ring","ring"
"PF12TR010",-0.869977913478199,-1.62294545223999,-1.1733115311087,"ring","ring","ring"
"PF12TR012",-1.02442199914642,-0.288888436054935,0.842508931057472,"ring","ring","ring"
"PF12TR013",-1.14888828385778,-0.789058050843437,0.715091012258458,"ring","ring","ring"
"PF12TR015",-1.72855479966523,-0.718221649822713,1.01033314984251,"ring","ring","ring"
"PF12TR017",-0.217796327080981,0.478376596879757,0.559716525947538,"ring","ring","ring"
"PF12TR018",-0.157849831320806,-0.219341256406952,0.17231423061382,"ring-ring","ring-ring","ring"
"PF13TR002",0.193627448125043,0.376231653627271,0.193659255714272,"ring","ring","ring"
"PF13TR003",0.401528158406551,0.459834802836042,0.34828857227522,"ring","ring","ring"
"PF13TR004",0.862668335055536,0.508045690812283,-0.354622644243253,"ring","ring","ring"
"PF13TR005",0.453809229117605,0.250409846104349,-0.203399383013256,"ring","ring","ring"
"PF13TR007",-0.731912033193222,0.317719980450558,0.95007739640654,"ring","ring","ring"
"PF13TR008",-1.0310614814784,-0.537950263919774,0.558182580287643,"ring","ring","ring"
"PF13TR011",-0.624216283779914,1.08529846012937,1.15635171931712,"ring","ring","ring"
"PF14TR002",0.155646363758918,0.519610053382535,0.485277631101097,"ring","ring-ring","ring-ring"
"PF14TR003",0.527708835172177,0.333112347831525,-0.466474171082169,"ring","ring","ring"
"PF14TR004",-0.810555470630235,0.26637649654426,0.734658501320593,"ring","ring-ring","ring"
"PF14TR005",-0.529437085558242,-0.724141895087729,-0.715275566097863,"ring","ring","ring"
"PF14TR006",-0.896967820278007,-0.511474541381943,0.417987872030894,"ring","ring-ring","ring"
"PF14TR007",-1.60824857472541,0.387211242860049,1.99545981758546,"ring","ring","ring"
"PF14TR011",-1.15624279476409,-1.23254929483536,-0.254501998720244,"ring","ring","ring-ring"
"PF3D7_0100100",0.428523803731861,0.40132971107404,-0.0638690248821756,"ring","ring","ring"
"PF3D7_0100200",0.612766201294838,0.352660154298884,0.614104326936055,"ring-ring","ring-ring","ring"
"PF3D7_0100400",1.91097340284795,1.66068864271954,-0.909655593996916,"ring","ring","ring-ring"
"PF3D7_0100500",-1.05322961519837,-0.15445737163341,0.942227677590567,"ring","ring","ring"
"PF3D7_0100600",-0.536407334825272,0.229002076089504,0.765409410914776,"ring","ring","ring"
"PF3D7_0100800",1.17070736307844,1.36948082298035,0.491574198345167,"ring","ring","ring"
"PF3D7_0100900",-1.00068772034678,-0.775423093958155,0.288910909689861,"ring","ring","ring"
"PF3D7_0101000",-0.80223929599607,-0.643063573255676,-0.576010578660989,"ring","ring","ring"
"PF3D7_0101300",-0.391687877428715,-0.339299659502952,0.482327772091993,"ring","ring-ring","ring"
"PF3D7_0101500",0.662868196470242,0.921527525424447,0.258659328954205,"ring","ring","ring"
"PF3D7_0101600",-0.776759974369729,-0.315924469200897,0.601128248361161,"ring","ring","ring"
"PF3D7_0101800",-1.18459693772334,0.557981352895869,1.47095655680194,"ring","ring","ring"
"PF3D7_0101900",-0.916226689688716,0.99465163194131,1.47779306371725,"ring","ring","ring"
"PF3D7_0102000",-1.09316146607788,-0.963477219225824,0.148215581494061,"ring-ring","ring-ring","ring"
